full_name,type,descname
ckan.logic.action.get.site_read,get,site_read
ckan.logic.action.get.package_list,get,package_list
ckan.logic.action.get.current_package_list_with_resources,get,current_package_list_with_resources
ckan.logic.action.get.revision_list,get,revision_list
ckan.logic.action.get.package_revision_list,get,package_revision_list
ckan.logic.action.get.member_list,get,member_list
ckan.logic.action.get.group_list,get,group_list
ckan.logic.action.get.organization_list,get,organization_list
ckan.logic.action.get.group_list_authz,get,group_list_authz
ckan.logic.action.get.organization_list_for_user,get,organization_list_for_user
ckan.logic.action.get.group_revision_list,get,group_revision_list
ckan.logic.action.get.organization_revision_list,get,organization_revision_list
ckan.logic.action.get.license_list,get,license_list
ckan.logic.action.get.tag_list,get,tag_list
ckan.logic.action.get.user_list,get,user_list
ckan.logic.action.get.package_relationships_list,get,package_relationships_list
ckan.logic.action.get.package_show,get,package_show
ckan.logic.action.get.resource_show,get,resource_show
ckan.logic.action.get.resource_view_show,get,resource_view_show
ckan.logic.action.get.resource_view_list,get,resource_view_list
ckan.logic.action.get.resource_status_show,get,resource_status_show
ckan.logic.action.get.revision_show,get,revision_show
ckan.logic.action.get.group_show,get,group_show
ckan.logic.action.get.organization_show,get,organization_show
ckan.logic.action.get.group_package_show,get,group_package_show
ckan.logic.action.get.tag_show,get,tag_show
ckan.logic.action.get.user_show,get,user_show
ckan.logic.action.get.package_autocomplete,get,package_autocomplete
ckan.logic.action.get.format_autocomplete,get,format_autocomplete
ckan.logic.action.get.user_autocomplete,get,user_autocomplete
ckan.logic.action.get.organization_autocomplete,get,organization_autocomplete
ckan.logic.action.get.package_search,get,package_search
ckan.logic.action.get.resource_search,get,resource_search
ckan.logic.action.get.tag_search,get,tag_search
ckan.logic.action.get.tag_autocomplete,get,tag_autocomplete
ckan.logic.action.get.task_status_show,get,task_status_show
ckan.logic.action.get.term_translation_show,get,term_translation_show
ckan.logic.action.get.get_site_user,get,get_site_user
ckan.logic.action.get.status_show,get,status_show
ckan.logic.action.get.vocabulary_list,get,vocabulary_list
ckan.logic.action.get.vocabulary_show,get,vocabulary_show
ckan.logic.action.get.user_activity_list,get,user_activity_list
ckan.logic.action.get.package_activity_list,get,package_activity_list
ckan.logic.action.get.group_activity_list,get,group_activity_list
ckan.logic.action.get.organization_activity_list,get,organization_activity_list
ckan.logic.action.get.recently_changed_packages_activity_list,get,recently_changed_packages_activity_list
ckan.logic.action.get.activity_detail_list,get,activity_detail_list
ckan.logic.action.get.user_activity_list_html,get,user_activity_list_html
ckan.logic.action.get.package_activity_list_html,get,package_activity_list_html
ckan.logic.action.get.group_activity_list_html,get,group_activity_list_html
ckan.logic.action.get.organization_activity_list_html,get,organization_activity_list_html
ckan.logic.action.get.recently_changed_packages_activity_list_html,get,recently_changed_packages_activity_list_html
ckan.logic.action.get.user_follower_count,get,user_follower_count
ckan.logic.action.get.dataset_follower_count,get,dataset_follower_count
ckan.logic.action.get.group_follower_count,get,group_follower_count
ckan.logic.action.get.organization_follower_count,get,organization_follower_count
ckan.logic.action.get.user_follower_list,get,user_follower_list
ckan.logic.action.get.dataset_follower_list,get,dataset_follower_list
ckan.logic.action.get.group_follower_list,get,group_follower_list
ckan.logic.action.get.organization_follower_list,get,organization_follower_list
ckan.logic.action.get.am_following_user,get,am_following_user
ckan.logic.action.get.am_following_dataset,get,am_following_dataset
ckan.logic.action.get.am_following_group,get,am_following_group
ckan.logic.action.get.followee_count,get,followee_count
ckan.logic.action.get.user_followee_count,get,user_followee_count
ckan.logic.action.get.dataset_followee_count,get,dataset_followee_count
ckan.logic.action.get.group_followee_count,get,group_followee_count
ckan.logic.action.get.followee_list,get,followee_list
ckan.logic.action.get.user_followee_list,get,user_followee_list
ckan.logic.action.get.dataset_followee_list,get,dataset_followee_list
ckan.logic.action.get.group_followee_list,get,group_followee_list
ckan.logic.action.get.organization_followee_list,get,organization_followee_list
ckan.logic.action.get.dashboard_activity_list,get,dashboard_activity_list
ckan.logic.action.get.dashboard_activity_list_html,get,dashboard_activity_list_html
ckan.logic.action.get.dashboard_new_activities_count,get,dashboard_new_activities_count
ckan.logic.action.get.member_roles_list,get,member_roles_list
ckan.logic.action.get.help_show,get,help_show
ckan.logic.action.get.config_option_show,get,config_option_show
ckan.logic.action.get.config_option_list,get,config_option_list
ckan.logic.action.get.job_list,get,job_list
ckan.logic.action.get.job_show,get,job_show
ckan.logic.action.create.package_create,create,package_create
ckan.logic.action.create.resource_create,create,resource_create
ckan.logic.action.create.resource_view_create,create,resource_view_create
ckan.logic.action.create.resource_create_default_resource_views,create,resource_create_default_resource_views
ckan.logic.action.create.package_create_default_resource_views,create,package_create_default_resource_views
ckan.logic.action.create.package_relationship_create,create,package_relationship_create
ckan.logic.action.create.member_create,create,member_create
ckan.logic.action.create.group_create,create,group_create
ckan.logic.action.create.organization_create,create,organization_create
ckan.logic.action.create.rating_create,create,rating_create
ckan.logic.action.create.user_create,create,user_create
ckan.logic.action.create.user_invite,create,user_invite
ckan.logic.action.create.vocabulary_create,create,vocabulary_create
ckan.logic.action.create.activity_create,create,activity_create
ckan.logic.action.create.tag_create,create,tag_create
ckan.logic.action.create.follow_user,create,follow_user
ckan.logic.action.create.follow_dataset,create,follow_dataset
ckan.logic.action.create.group_member_create,create,group_member_create
ckan.logic.action.create.organization_member_create,create,organization_member_create
ckan.logic.action.create.follow_group,create,follow_group
ckan.logic.action.update.resource_update,update,resource_update
ckan.logic.action.update.resource_view_update,update,resource_view_update
ckan.logic.action.update.resource_view_reorder,update,resource_view_reorder
ckan.logic.action.update.package_update,update,package_update
ckan.logic.action.update.package_resource_reorder,update,package_resource_reorder
ckan.logic.action.update.package_relationship_update,update,package_relationship_update
ckan.logic.action.update.group_update,update,group_update
ckan.logic.action.update.organization_update,update,organization_update
ckan.logic.action.update.user_update,update,user_update
ckan.logic.action.update.user_generate_apikey,update,user_generate_apikey
ckan.logic.action.update.task_status_update,update,task_status_update
ckan.logic.action.update.task_status_update_many,update,task_status_update_many
ckan.logic.action.update.term_translation_update,update,term_translation_update
ckan.logic.action.update.term_translation_update_many,update,term_translation_update_many
ckan.logic.action.update.vocabulary_update,update,vocabulary_update
ckan.logic.action.update.dashboard_mark_activities_old,update,dashboard_mark_activities_old
ckan.logic.action.update.send_email_notifications,update,send_email_notifications
ckan.logic.action.update.package_owner_org_update,update,package_owner_org_update
ckan.logic.action.update.bulk_update_private,update,bulk_update_private
ckan.logic.action.update.bulk_update_public,update,bulk_update_public
ckan.logic.action.update.bulk_update_delete,update,bulk_update_delete
ckan.logic.action.update.config_option_update,update,config_option_update
ckan.logic.action.patch.package_patch,patch,package_patch
ckan.logic.action.patch.resource_patch,patch,resource_patch
ckan.logic.action.patch.group_patch,patch,group_patch
ckan.logic.action.patch.organization_patch,patch,organization_patch
ckan.logic.action.delete.user_delete,delete,user_delete
ckan.logic.action.delete.package_delete,delete,package_delete
ckan.logic.action.delete.dataset_purge,delete,dataset_purge
ckan.logic.action.delete.resource_delete,delete,resource_delete
ckan.logic.action.delete.resource_view_delete,delete,resource_view_delete
ckan.logic.action.delete.resource_view_clear,delete,resource_view_clear
ckan.logic.action.delete.package_relationship_delete,delete,package_relationship_delete
ckan.logic.action.delete.member_delete,delete,member_delete
ckan.logic.action.delete.group_delete,delete,group_delete
ckan.logic.action.delete.organization_delete,delete,organization_delete
ckan.logic.action.delete.group_purge,delete,group_purge
ckan.logic.action.delete.organization_purge,delete,organization_purge
ckan.logic.action.delete.task_status_delete,delete,task_status_delete
ckan.logic.action.delete.vocabulary_delete,delete,vocabulary_delete
ckan.logic.action.delete.tag_delete,delete,tag_delete
ckan.logic.action.delete.unfollow_user,delete,unfollow_user
ckan.logic.action.delete.unfollow_dataset,delete,unfollow_dataset
ckan.logic.action.delete.group_member_delete,delete,group_member_delete
ckan.logic.action.delete.organization_member_delete,delete,organization_member_delete
ckan.logic.action.delete.unfollow_group,delete,unfollow_group
ckan.logic.action.delete.job_clear,delete,job_clear
ckan.logic.action.delete.job_cancel,delete,job_cancel
